DataSet,Study,Journal,Raptor order,Raptor family,Raptor genus,RaptorScientificName,Raptor common name,Continent,Country,Latitude (decimal degree),Longitude (decimal degree),Riparian/Lake,Woodland/Forest/Rainforest,Orchard/Plantation Forest,Pasture (grazed land),Prairie/Grassland/Meadow,Scrub/Shrub/Heath,Urban,Agriculture,Wetland/Marsh/Floodplain,Desert,Tundra,Coastal/Beach/Island,Season of collection,"Start quarter (1:Dec-Feb, 2: Mar-May, 3: Jun-Aug, 4: Sept-Nov)",End quarter,Pellets,Prey remains,Direct observations,DNA,Stomach/Gullet contents,Photos/ Videos,Num_obs,Notes,Year,PelletNumber,PreyPerPellet,
11,Kennedy and Johnson 1986,The Wilson Bulletin,Accipitriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,48.494,-122.897,,,,,,,,,,,,X,Breeding,3,,,,X,,,,110,,1978.5,,,
12,Roth and Lima 2003,The Condor,Accipitriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,39.463,-87.383,,,,,,,X,,,,,,,1,,,X,X,,,,57,,2000,,,
13,Bonner and Geluso 2010,Prairie Naturalist,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,41.928,-102.499,,,,,X,,,,,,,,Breeding,3,4,X,,,,,,362,,2008,,,
14,Bonner and Geluso 2010,Prairie Naturalist,Strigiformes,Strigidae,Bubo,Bubo virginianus,Great Horned Owl,North America,USA,41.928,-102.499,,,,,X,,,,,,,,Breeding,3,4,X,,,,,,73,,2008,,,
15,Collopy 1983,Journal of Wildlife Management,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,43.094,-116.042,,,,,,X,,,,,,,Breeding,,,,X,X,,,,619,,1978.5,,,
16,DeLong et al 2013,The Condor,Accipitriformes,Acciptridae,Accipiter,Accipiter striatus,Sharp-shinned Hawk,North America,USA,34.7,-106.4,,X,,,,,,,,,,,Migration,4,,,,,X,,,48,,2006,,,
17,US Dept. of Interior 1979,Snake River Birds of Prey Special Research Report,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,43.094,-116.042,,,,,,X,,,,,,,Breeding,,,,X,,,,,2915,,1974.5,,,
18,Stahlecker et al 2009,Western Birds,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,36.38,-108.05,,,,,,X,,,,,,,Breeding,,,,X,,,,,660,,"2,003",,,
19,Meserve 1977,The Condor,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Chile,-33.127,-70.889,,,,X,,,,X,,,,,Year round,5,,X,,,,,,663,,1973.5,474,1.4,
20,Bond 1942,The Condor,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,North America,USA,34.296,-118.55,,,X,,,,,X,,,,,,2,,X,,,,,,74,,1942,,1.33,
21,Dixon et al 1957,The Condor,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,North America,USA,33.283,-117.097,,,X,,,,,,,,,,Year round,5,,X,,,,,,202,,1954.5,144,1.4,
22,Stendell and Meyers 1973,The Condor,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,North America,USA,36.38,-121.567,,X,,,X,X,,,,,,,,2,,X,,,,,,35,,1969,28,1.25,
23,Hawbecker 1940,The Condor,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,North America,USA,36.923,-121.768,,X,X,X,X,,,,,,,,Breeding,2,,X,,,,,,214,,1939,163,1.31,
24,Schlatter et al 1980,The Auk,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Chile,-33.433,-70.783,,,,,,,,X,X,,,,,3,,X,,,,,,718,,1974,551,1.3,
25,Schlatter et al 1980,The Auk,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Chile,-33.35,-70.533,,,,,,X,,,,,,,,3,,X,,,,,,151,,1973,136,1.11,
26,Scheibler and Christoff 2007,Brazilian Journal of Biology,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Brazil,-29.583,-52.2,,,,,,,,X,,,,,,5,,X,,,,,,2170,,2000,1285,1.69,
27,Scheibler and Christoff 2007,Brazilian Journal of Biology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Brazil,-29.583,-52.2,,,,,,,,X,,,,,,5,,X,,,,,,2087,,2000,,,
28,Lovari et al 1976,Italian Journal of Zoology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,43.322,11.484,,X,,,X,X,,,,,,,Breeding,3,,X,,,,,,1112,Station 1,1974,414,2.69,
29,Lovari et al 1976,Italian Journal of Zoology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,43.322,11.484,,X,,,,,,X,,,,,Breeding,3,,X,,,,,,788,Station 2,1974,220,3.58,
30,Lovari et al 1976,Italian Journal of Zoology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,43.322,11.484,,X,,,X,,,X,,,,,Breeding,3,,X,,,,,,194,Station 3,1974,80,2.43,
31,Lovari et al 1976,Italian Journal of Zoology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,43.322,11.484,,X,,,X,,,X,,,,,Breeding,3,,X,,,,,,349,Station 4,1974,111,3.14,
32,Lovari et al 1976,Italian Journal of Zoology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,43.322,11.484,,X,,,X,,,X,,,,,Breeding,3,,X,,,,,,538,Station 5,1974,152,3.54,
33,Lovari et al 1976,Italian Journal of Zoology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,43.322,11.484,,X,,,X,,,X,,,,,Breeding,3,,X,,,,,,277,Station 6,1974,80,3.46,
34,Lovari et al 1976,Italian Journal of Zoology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Italy,43.322,11.484,,,,,,,,X,,,,,Breeding,3,,X,,,,,,394,Station 7,1974,107,3.68,
35,Brown et al 1991,The Southwestern Naturalist,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus leucocephalus,Bald Eagle,North America,Mexico,29.165,-109.684,X,,,,,X,,,,,,,Breeding,,,,X,,,,,118,,1988,,,
36,Leveau et al 2004,Journal of Raptor Research,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Argentina,-37.667,-59.383,,X,,,,,,X,,,,,,4,1,X,,,,,,109,,1988,77,1.4,
37,Leveau et al 2004,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Argentina,-37.667,-59.383,,X,,,,,,X,,,,,,4,1,X,,,,,,487,,1988,154,3.16,
38,Toland 1985,Journal of Field Ornithology,Accipitriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,37.348,-92.07,,,,,,,,,,,,,Breeding,,,X,X,X,,,,259,,1984,,,
39,Sarasola et al 2007,Studies on Neotropical Fauna and Environment,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Argentina,-36.5,-63.85,,,,,,,,X,,,,,,4,1,X,,,,,,87,,2002.5,72,1.21,
40,Sarasola et al 2007,Studies on Neotropical Fauna and Environment,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Argentina,-36.5,-63.85,,X,,,X,X,,,,,,,,4,1,X,,,,,,82,,2002.5,147,0.56,
41,Smithers et al 2005,Journal of Raptor Research,Accipitriformes,Acciptridae,Accipiter,Accipiter gentilis,Northern Goshawk,North America,USA,46.833,-92.183,,X,,,,,,,,,,,Breeding,,,,,,,,X,652,,2001,,,
42,Gonzalez-Acuna et al 2009,Journal of Raptor Research,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Chile,-36.766,-73.05,X,,,X,,,,,,,,,Breeding,1,2,X,,,,,,71,,2004,19,3.74,
43,Gonzalez-Acuna et al 2009,Journal of Raptor Research,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Chile,-36.766,-73.05,X,,,X,,,,,,,,,Non-breeding,2,4,X,,,,,,21,,2004,9,2.33,
44,Gonzalez-Acuna et al 2009,Journal of Raptor Research,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Chile,-36.766,-73.05,X,,,X,,,,,,,,,Breeding,4,2,X,,,,,,158,,2004.5,117,1.35,
45,Gonzalez-Acuna et al 2009,Journal of Raptor Research,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Chile,-36.766,-73.05,X,,,X,,,,,,,,,Non-breeding,2,4,X,,,,,,93,,2005,64,1.45,
46,Grzybowski and Eaton 1976,The Wilson Bulletin,Accipitriformes,Acciptridae,Accipiter,Accipiter gentilis,Northern Goshawk,North America,USA,42.403,-77.674,,,,,,,,,,,,,Breeding,2,3,,X,,,,,77,,1968.5,,,
47,Sarasola et al 2010,Journal of Raptor Research,Accipitriformes,Acciptridae,Elanus,Elanus leucurus,White-tailed Kite,South America,Argentina,-36.14,-63.857,,,,X,,,,X,,,,,Non-breeding,3,,X,,,,,,314,,2006,193,1.63,
48,Manaa et al 2013,Ostrich,Accipitriformes,Acciptridae,Elanus,Elanus caeruleus,Black-winged Kite,Africa,Algeria,36.14,3.273,,,X,,,,,X,,,,,,3,,X,,,,,,67,,2006,,2.11,
49,Parejo et al 2001,Journal of Raptor Research,Accipitriformes,Acciptridae,Elanus,Elanus caeruleus,Black-winged Kite,Europe,Spain,38.757,-7.19,,,,,,,,X,,,,,,1,,X,,,,,,745,,1999.5,500,2.11,
50,Manosa et al 2005,Revista Catalana d'Ornitologia,Accipitriformes,Acciptridae,Elanus,Elanus caeruleus,Black-winged Kite,Europe,Spain,42.054,-1.416,,X,,,,,,X,,,,,Breeding,,,X,,,,,,151,,1998,107,1.41,
51,Slotow et al 1988,Ostrich,Accipitriformes,Acciptridae,Elanus,Elanus caeruleus,Black-winged Kite,Africa,South Africa,-24.95,28.55,,,,X,,,,X,,,,,Year round,5,,X,,,,,,1777,,1986.5,,1.3,
52,Olsen et al 2013,Corella,Accipitriformes,Acciptridae,Haliastur,Haliastur sphenurus,Whistling Kite,Australia/Oceania,Australia,-35.309,149.53,,,,,,,,,,,,,Breeding,4,1,X,X,,,,,130,,2005,,,
53,Olsen et al 2013,Corella,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus leucogaster,White-bellied Sea-eagle,Australia/Oceania,Australia,-35.309,149.53,,,,,,,,,,,,,Breeding,4,1,X,X,,,,,78,,2006,,,
54,Watson and Clarke 2000,British Birds,Falconiformes,Falconidae,Falco,Falco cherrug,Saker Falcon,Asia,Kazakhstan,48.878,80.865,,,,X,,,,,,,,,Breeding,2,3,X,,,,,,129,,1997,131,0.98,
55,Watson and Clarke 2000,British Birds,Falconiformes,Falconidae,Falco,Falco cherrug,Saker Falcon,Asia,Kazakhstan,48.878,80.865,,,,X,,,,,,,,,Breeding,2,3,,X,,,,,50,,1997,,,
56,US Dept. of Interior 1979,Snake River Birds of Prey Special Research Report,Falconiformes,Falconidae,Falco,Falco mexicanus,Prairie Falcon,North America,USA,43.094,-116.042,,,,,,X,,,,,,,Breeding,,,,X,,,,,978,,1976,,,
57,Souttou et al 2005,Alauda,Falconiformes,Falconidae,Falco,Falco biarmicus,Lanner Falcon,Africa,Algeria,29.233,0.317,,,,,,,,,,X,,,Year round,5,,,X,,,,,672,,1989,,,
58,Figueroa Rojas and Stappung 2002,Int HawkWatcher,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,South America,Chile,-45.666,-72.3,,X,,,X,,,,,,,,,3,,X,,,,,,51,,1999,26,1.96,
59,Resano et al 2011,Journal of Raptor Research,Accipitriformes,Acciptridae,Aquila,Aquila fasciata,Bonelli's Eagle,Europe,Spain,41.333,1.533,,,,,,X,,,,,,,Breeding,1,3,X,,,,,,542,,2008,241,2.25,
60,Eakle and Grubb 1986,Western Birds,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,33.143,-111.02,,,,,,X,,,,,,,Breeding,3,,,X,,,,,38,,1985,,,
61,Gokula 2012,Taprobanica,Accipitriformes,Acciptridae,Spilornis,Spilornis cheela,Crested Serpent Eagle,Asia,India,11.343,78.381,,X,,,,,,,,,,,Breeding,,,,X,X,,,,173,,2007.5,,,
62,Gubanyi et al 1992,The American Midland Naturalist,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,41.295,-100.775,X,,,,X,,,,,,,,Breeding,2,4,X,,,,,,1272,,1984,,,
63,US Dept. of Interior 1979,Snake River Birds of Prey Special Research Report,Accipitriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,USA,43.094,-116.042,,,,,,X,,,,,,,Breeding,,,,X,,,,,1538,,1975.5,,,
64,Carnie 1954,The Condor,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,37.246,-121.565,,,,,,,,,,,,,Breeding,2,3,,X,,,,,463,,1949.5,,,
65,Olsen et al 2006,Australian Field Ornithology,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus leucogaster,White-bellied Sea-eagle,Australia/Oceania,Australia,-35.418,149.262,,X,,X,,,,,,,,,Breeding,,,X,X,,,,,13,,1992,,,
66,Olsen et al 2006,Australian Field Ornithology,Accipitriformes,Acciptridae,Accipiter,Accipiter fasciatus,Brown Goshawk,Australia/Oceania,Australia,-35.22,148.145,,X,,X,,,,,,,,,Breeding,,,X,X,,,,,22,,1991.5,,,
67,Olsen et al 2006,Australian Field Ornithology,Falconiformes,Falconidae,Falco,Falco longipennis,Australian Hobby,Australia/Oceania,Australia,-35.22,148.145,,X,,X,,,,,,,,,Breeding,,,X,X,,,,,95,,1991,,,
68,Olsen et al 2006,Australian Field Ornithology,Falconiformes,Falconidae,Falco,Falco peregrinus,Peregrine Falcon,Australia/Oceania,Australia,-35,148.579,,X,,X,,,,,,,,,Breeding,,,X,X,,,,,52,,1991.5,,,
69,Olsen et al 2006,Australian Field Ornithology,Strigiformes,Strigidae,Ninox,Ninox novaeseelandiae,Morepork,Australia/Oceania,Australia,-35.22,148.145,,X,,X,,,,,,,,,Breeding,,,X,X,,,,,46,,1993.5,,,
70,Kopij 2013,Northwestern Naturalist,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,45.21,-117.865,,,,X,,,X,X,,,,,,4,,X,,,,,,328,,2010,184,1.78,
71,Kopij 2013,Northwestern Naturalist,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,44.677,-123.348,,,,,,,,X,X,,,,,4,,X,,,,,,343,,2010,172,1.99,
72,Fernandez-Bellon and Lusby 2011,Irish Birds,Falconiformes,Falconidae,Falco,Falco columbarius,Merlin,Europe,Ireland,53.877,-7.656,,X,,,X,,,,,,,,Breeding,2,3,X,X,,,,,384,,2010,,,
73,Figueroa Rojas and Stappung 2004,Hornero,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,South America,Chile,-38.233,-72.633,,X,,,,,,X,,,,,,1,,X,X,,,,,154,,1997.5,,,
74,Figueroa Rojas and Stappung 2004,Hornero,Falconiformes,Falconidae,Falco,Falco femoralis,Aplomado Falcon,South America,Chile,-38.233,-72.633,,X,,,,,,X,,,,,,1,,X,X,,,,,42,,1997.5,,,
75,Santillan et al 2009,Journal of Raptor Research,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,South America,Argentina,-47.747,-65.94,,,,,,X,,,,,,X,Breeding,1,,X,X,,,,,242,Ria Deseado,2000,,,
76,Santillan et al 2009,Journal of Raptor Research,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,South America,Argentina,-47.656,-68.212,,,,,X,X,,,,,,,Breeding,4,,X,X,,,,,433,Monumento Natural Bosques Petrificados,2003.5,,,
77,Santillan et al 2009,Journal of Raptor Research,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,South America,Argentina,-47.783,-65.817,X,,,,X,,,,,,,,Breeding,1,,X,X,,,,,330,Rio Chico,1998,,,
78,Santillan et al 2009,Journal of Raptor Research,Falconiformes,Falconidae,Falco,Falco sparverius,American Kestrel,South America,Argentina,-39.5,-70.5,,,,,X,X,,,,,,,Breeding,4,1,X,X,,,,,164,Jun?n de los Andes,1992,,,
79,Holt and Leroux 1997,The Wilson Bulletin,Strigiformes,Strigidae,Glaucidium,Glaucidium gnoma,Northern Pygmy Owl,North America,USA,46.87,-114,,X,,,,,,,,,,,Non-breeding,4,1,X,X,,,,,194,West-central Montana,1989.5,,,
80,Holt and Leroux 1997,The Wilson Bulletin,Strigiformes,Strigidae,Aegolius,Aegolius acadicus,Northern Saw-whet Owl,North America,USA,46.87,-114,,X,,,,,,,,,,,Non-breeding,4,1,X,X,,,,,388,West-central Montana,1989.5,,,
81,Nystrom et al 2006,Ornis Fennica,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,Europe,Sweden,67.237,17.362,,,,,,X,,,,,X,,Breeding,3,,,X,,X,,,324,,2000.5,,,
82,Tjernberg 1981,Holarctic Ecology,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,Europe,Sweden,65,16,,X,,,X,,,,,,,,Breeding,3,,X,X,,,,,2801,,1977,,,
83,Sulkava et al 1984,Annales Zoologici Fennici,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,Europe,Finland,68.033,26.423,,X,,,,,,,,,,,Breeding,,,X,X,,,,,3721,(Sweden R data is in Tjernberg 1981) Finland R,1965.625,,,
84,Sulkava et al 1984,Annales Zoologici Fennici,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,Europe,Finland,64.663,27.109,,X,,,,,,,,,,,Breeding,,,X,X,,,,,1780,(Sweden R data is in Tjernberg 1981) Finland S,1965.625,,,
85,Real 1996,Journal of Wildlife Management,Accipitriformes,Acciptridae,Aquila,Aquila fasciata,Bonelli's Eagle,Europe,Spain,41.866,1.521,,,,,,,,,,,,,Breeding,,,X,X,X,,,,303,,1986,,,
86,Petty et al 1995,Forest Ecology and Management,Accipitriformes,Acciptridae,Accipiter,Accipiter nisus,Eurasian Sparrowhawk,Europe,UK,55.17,-2.44,,X,,,,,,,,,,,Breeding,2,3,,X,,,,,722,1991(many cones~more prey),1991,,,
87,Petty et al 1995,Forest Ecology and Management,Accipitriformes,Acciptridae,Accipiter,Accipiter nisus,Eurasian Sparrowhawk,Europe,UK,55.17,-2.44,,X,,,,,,,,,,,Breeding,2,3,,X,,,,,108,1992(less cones-less prey),1992,,,
88,Petty et al 1995,Forest Ecology and Management,Falconiformes,Falconidae,Falco,Falco columbarius,Merlin,Europe,UK,55.17,-2.44,,X,,,,,,,,,,,Breeding,2,3,,X,,,,,491,1991(many cones~more prey),1991,,,
89,Petty et al 1995,Forest Ecology and Management,Falconiformes,Falconidae,Falco,Falco columbarius,Merlin,Europe,UK,55.17,-2.44,,X,,,,,,,,,,,Breeding,2,3,,X,,,,,389,1992(less cones-less prey),1992,,,
90,Mollhagen et al 1972,Journal of Wildlife Management,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,34.344,-108.496,,,,,,,,,,,,,Breeding,3,,,X,,,,,169,,1968,,,
91,Ellis et al 2000,Ibis,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,Asia,Mongolia,45.5,112.5,,,,,X,,,,,,,,Breeding,,,,X,,,,,78,,1996,,,
92,Galetti and de Carvalho 2000,Wilson Bulletin,Accipitriformes,Acciptridae,Harpia,Harpia harpyja,Harpy Eagle,South America,Brazil,-3.76,-48.181,,X,,,,,,,,,,,Breeding,5,,,X,,,,,21,,1997.5,,,
93,Sulkava et al 1997,Ornis Fennica,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus albicilla,White-tailed Eagle,Europe,Finland,60.169,22.19,,X,,,,,,,,,,X,Breeding,,,X,X,,,,,1325,Aland,1984,,,
94,Sulkava et al 1997,Ornis Fennica,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus albicilla,White-tailed Eagle,Europe,Finland,63.106,21.387,,X,,,,,,,,,,X,Breeding,,,X,X,,,,,1072,Quark,1984,,,
95,Sulkava et al 1997,Ornis Fennica,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus albicilla,White-tailed Eagle,Europe,Finland,68.046,26.951,X,,,,,,,,X,,,,Breeding,,,X,X,,,,,740,Lapland,1984,,,
96,Hiraldo et al 1995,Wilson Bulletin,Accipitriformes,Acciptridae,Geranoaetus,Geranoaetus melanoleucus,Black-chested Buzzard-eagle,South America,Argentina,-39.95,-71.083,,,,,X,X,,,,,,,Breeding,4,1,X,,,,,,1241,,1992,1097,1.13,
97,Rifai et al 2000,Journal of Arid Environments,Strigiformes,Strigidae,Bubo,Bubo ascalaphus,Pharaoh Eagle-owl,Asia,Jordan,31.55,37.167,,,,,,,,,,X,,,Breeding,3,,X,,,,,,835,,1997,174,4.8,
98,Moldovan and Sandor 2009,Sandgrouse,Strigiformes,Strigidae,Bubo,Bubo ascalaphus,Pharaoh Eagle-owl,Africa,Egypt,27.217,33.8,,,,,,,,,,X,,,Breeding,,,X,X,,,,,367,,2007.5,,,
99,Dunstan and Harper 1975,Journal of Wildlife Management,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus leucocephalus,Bald Eagle,North America,USA,47.39,-94.344,X,X,,,,,,,,,,,Breeding,3,,,X,,,,,302,,1969.5,,,
100,Wille and Kampp 1983,Holarctic Ecology,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus albicilla,White-tailed Eagle,North America,Greenland,60.644,-45.09,,,,X,,,,,,,,,Breeding,,,,,,,,X,59,,1976,,,
101,Sarasola et al 2010,Endangered Species Research,Accipitriformes,Acciptridae,Buteogallus,Buteogallus coronatus,Crowned Eagle,South America,Argentina,-37.033,-65.567,,,,,X,,,,,,,,Breeding,4,1,X,X,,,,,513,,2005.5,,,
102,Veiga 1986,Journal of Raptor Research,Accipitriformes,Acciptridae,Hieraaetus,Hieraaetus pennatus,Booted Eagle,Europe,Spain,40.783,0.5,,X,,X,,X,,,,,,,Breeding,2,3,X,X,,,,,202,,1979.5,,,
103,Sharp et al 2002,Emu,Accipitriformes,Acciptridae,Aquila,Aquila audax,Wedge-tailed Eagle,Australia/Oceania,Australia,-31.233,142.317,,,,X,,,,,,,,,Breeding,1,,X,X,,,,,1263,,1996,,,
104,Collins and Latta 2009,Proceedings of the 7th California Islands Symposium,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,33.997,-119.95,,,,,X,X,,,,,,X,,,,,X,,,,,425,,2004,,,
105,McPherson et al 2016,Urban Ecosystems,Accipitriformes,Acciptridae,Stephanoaetus,Stephanoaetus coronatus,Crowned Eagle,Africa,South Africa,-29.75,30.756,,,,,,,X,,,,,,Breeding,4,2,,,,,,X,777,,2012.5,,,
106,Boshoff et al 1994,South African Journal of Wildlife Research,Accipitriformes,Acciptridae,Stephanoaetus,Stephanoaetus coronatus,Crowned Eagle,Africa,South Africa,-33.384,26.7,,,,,X,,,,,,,,Breeding,,,,X,,,,,1410,,1979.5,,,
107,Boshoff et al 1994,South African Journal of Wildlife Research,Accipitriformes,Acciptridae,Stephanoaetus,Stephanoaetus coronatus,Crowned Eagle,Africa,South Africa,-33.786,23.356,,X,,,,,,,,,,,Breeding,,,,X,,,,,394,,1979.5,,,
108,Charter et al 2007,The Wilson Journal of Ornithology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Asia,Israel,35.083,34.767,,,X,,,,X,X,,,,,Breeding,,,X,,,,,,207,,2005,82,4.92,
109,Knight and Erickson 1978,The Murrelet,Accipitriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,48.035,-119.209,X,,,,X,,,,,,,,Breeding,2,3,,X,,,,,50,,1975,,,
110,Mitani et al 2001,Behavioral Ecology and Sociobiology,Accipitriformes,Acciptridae,Stephanoaetus,Stephanoaetus coronatus,Crowned Eagle,Africa,Uganda,0.464,30.377,X,,,,X,,,,,,,,Breeding,,,,X,,,,,90,,1997.5,,,
111,Swatridge et al 2014,Ostrich,Accipitriformes,Acciptridae,Stephanoaetus,Stephanoaetus coronatus,Crowned Eagle,Africa,South Africa,-25.417,30.467,,X,,,X,,,,,,,,Breeding,4,2,,X,,,,,154,,2008.5,,,
