"DataSet","lat","lon","subbiome","biome","ecozone","subbiome_n","biome_n","ecozone_n"
51,-24.95,28.55,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
52,-35.309,149.53,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
53,-35.309,149.53,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
54,48.878,80.865,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
55,48.878,80.865,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
56,43.094,-116.042,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
57,29.233,0.317,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
58,-45.666,-72.3,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
59,41.333,1.533,"5a",5,"B","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
60,33.143,-111.02,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
61,11.343,78.381,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
62,41.295,-100.775,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
63,43.094,-116.042,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
64,37.246,-121.565,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
65,-35.418,149.262,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
66,-35.22,148.145,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
67,-35.22,148.145,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
68,-35,148.579,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
69,-35.22,148.145,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
70,45.21,-117.865,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
71,44.677,-123.348,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
72,53.877,-7.656,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
73,-38.233,-72.633,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
74,-38.233,-72.633,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
75,-47.747,-65.94,NA,NA,NA,NA,NA,NA
76,-47.656,-68.212,"5c",5,"BB","5c. Patagonian shrubland","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
77,-47.783,-65.817,NA,NA,NA,NA,NA,NA
78,-39.5,-70.5,"5c",5,"BB","5c. Patagonian shrubland","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
79,46.87,-114,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
80,46.87,-114,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
81,67.237,17.362,"1b",1,"AA","1b. Tundras of the temparate mountains in cryoro belt","1. Biome of the tundra","AA. Polar and boreal ecozone"
82,65,16,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
83,68.033,26.423,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
84,64.663,27.109,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
85,41.866,1.521,"5a",5,"B","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
86,55.17,-2.44,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
87,55.17,-2.44,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
88,55.17,-2.44,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
89,55.17,-2.44,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
90,34.344,-108.496,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
91,45.5,112.5,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
92,-3.76,-48.181,"9a",9,"DB","9a. Tropical rain forests","9. Biome of the tropical rain forests","DB. Tropical pluvial, rainy all the year round ecozone"
93,60.169,22.19,NA,NA,NA,NA,NA,NA
94,63.106,21.387,NA,NA,NA,NA,NA,NA
95,68.046,26.951,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
96,-39.95,-71.083,"5c",5,"BB","5c. Patagonian shrubland","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
97,31.55,37.167,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
98,27.217,33.8,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
99,47.39,-94.344,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
100,60.644,-45.09,NA,NA,NA,NA,NA,NA
101,-37.033,-65.567,"5c",5,"BB","5c. Patagonian shrubland","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
102,40.783,0.5,"5a",5,"B","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
103,-31.233,142.317,"7b",7,"CA","7b. Temperate deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
104,33.997,-119.95,NA,NA,NA,NA,NA,NA
105,-29.75,30.756,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
106,-33.384,26.7,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
107,-33.786,23.356,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
108,35.083,34.767,NA,NA,NA,NA,NA,NA
109,48.035,-119.209,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
110,0.464,30.377,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
111,-25.417,30.467,"8b",8,"DA","8b. Tropical pluviseasonal forests and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
112,-2.622,-56.69,"9a",9,"DB","9a. Tropical rain forests","9. Biome of the tropical rain forests","DB. Tropical pluvial, rainy all the year round ecozone"
113,34.888,33.005,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
114,37.398,-3.875,"5a",5,"B","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
115,37.817,-1.07,"5a",5,"B","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
116,36.945,-3.583,"5a",5,"B","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
117,44.49,5.13,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
118,37,4,NA,NA,NA,NA,NA,NA
119,37.638,101.307,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
120,37.638,101.307,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
121,40.133,26.45,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
122,41.114,26.185,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
123,-30.525,29.669,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
124,-29.488,30.263,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
125,43.716,-105.886,"6b",6,"BC","6b. Grass-steppe","6. Biome of the steppe","BC. Temperate hypercontinental steppic ecozone"
126,45.66,-110.53,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
127,30.467,51.483,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
128,41.44,-112.18,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
129,41.44,-112.18,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
130,40.38,-105.79,"1b",1,"AA","1b. Tundras of the temparate mountains in cryoro belt","1. Biome of the tundra","AA. Polar and boreal ecozone"
131,4.667,-73.485,"9a",9,"DB","9a. Tropical rain forests","9. Biome of the tropical rain forests","DB. Tropical pluvial, rainy all the year round ecozone"
132,45.464,90.327,"7a",7,"CA","7a. Cold deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
133,46.493,73.354,"7a",7,"CA","7a. Cold deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
134,44.857,73.939,"7a",7,"CA","7a. Cold deserts and semi-deserts","7. Biome of the deserts and semi-deserts of arid regions","CA. Ecozone of the deserts and semi-deserts of arid regions"
135,41,26,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
136,-35.85,137.092,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
137,-37.667,144.435,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
138,-21.724,141.513,"8a",8,"DA","8a. Tropical xeric shrublands and woodlands","8. Biome of the tropical pluviseasonal forests and shrublands","DA. Tropical pluviseasonal, rainy and dry seasons"
139,-30.5,151.667,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
140,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
141,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
142,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
143,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
144,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
145,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
146,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
147,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
148,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
149,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
150,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
151,41.4,26.7,"3a",3,"BA","3a. Temperate deciduous forests","3. Biome of the temperate deciduous forests","BA. Temperate ombroestival ecozone"
152,-31.798,116.16,"5a",5,"BB","5a. Oceanic sclerophyllous-microphyllous evergreen forests and shrublands (Mediterranean)","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
153,41.784,-121.53,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
154,37.34,-121.69,"4b",4,"BA","4b. Conifer coastal forests","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
155,41.71,-106.12,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
156,41.71,-106.12,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
157,41.71,-106.12,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
158,41.71,-106.12,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
159,36.55,26.367,NA,NA,NA,NA,NA,NA
160,47.02,-118.93,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
161,40.28,-112.33,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
162,40.28,-112.33,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
163,40.28,-112.33,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
164,40.28,-112.33,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
165,40.28,-112.33,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
166,70.05,25.14,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
167,69.53,25.486,"2a",2,"AA","2a. Lowland boreal Taiga","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
168,47.362,-120.673,"2b",2,"AA","2b. Forests and shrublands of the temperate oro belt","2. Biome of the boreal forest","AA. Polar and boreal ecozone"
169,40.28,-112.33,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
170,40.28,-112.33,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
171,40.28,-112.33,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
172,-36.14,-63.857,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
173,-36.14,-63.857,"4a",4,"BA","4a. Lauroid evergreen forest of the lowlands","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
174,40.886,-124.12,"4b",4,"BA","4b. Conifer coastal forests","4. Biome of the temperate pluvial evergreen forest, shrublands and grasslands","BA. Temperate ombroestival ecozone"
175,20,-95,NA,NA,NA,NA,NA,NA
176,40.28,-112.33,"5b",5,"BB","5b. Continental scrub and woodlands","5. Biome of the temperate aridiestival evergreen forests and shrublands","BB. Temperate aridiestival ecozone"
